model,model_aux,type1,type2,,,,,,,,,,,,,,,,,,,,,,
SB207,SB206 SB207 SB208（SB303面請在此輸入）,母,207鐵母 HHM 520,,,,,,,,,,,,,,,,,,,,,,
SB207,SB206 SB207 SB208（SB303面請在此輸入）,母,207鐵母 PRYM 6 0.55,,,,,,,,,,,,,,,,,,,,,,
SB208,SB206 SB207 SB208（SB303面請在此輸入）,母,208母 IRC,,,,,,,,,,,,,,,,,,,,,,
SB208,SB206 SB207 SB208（SB303面請在此輸入）,母,208母 六星,,,,,,,,,,,,,,,,,,,,,,
SB206 SB207 SB208,SB206 SB207 SB208（SB303面請在此輸入）,公,公 太陽,,,,,,,,,,,,,,,,,,,,,,
SB206 SB207 SB208,SB206 SB207 SB208（SB303面請在此輸入）,公,公 太陽(大片),,,,,,,,,,,,,,,,,,,,,,
SB206 SB207 SB208,SB206 SB207 SB208（SB303面請在此輸入）,腳,腳 密合几字短腳(短1mm),,,,,,,,,,,,,,,,,,,,,,
SB206 SB207 SB208,SB206 SB207 SB208（SB303面請在此輸入）,腳,腳 密合几字腳,,,,,,,,,,,,,,,,,,,,,,
SB206 SB207 SB208,SB206 SB207 SB208（SB303面請在此輸入）,腳,腳 開口几字腳,,,,,,,,,,,,,,,,,,,,,,
SB206 SB207 SB208,SB206 SB207 SB208（SB303面請在此輸入）,腳,腳 開口太陽腳 12mm,,,,,,,,,,,,,,,,,,,,,,
